university_name,country,city,program_name,degree_type,field,language,tuition_usd_per_year,application_portal,english_requirement,min_gpa,min_ielts,min_toefl,intake,deadline,duration_years,scholarships_available,special_notes
University of Texas at Dallas,USA,Dallas,MS Computer Science with AI Specialization,Masters,Artificial Intelligence,English,18000,Direct University Portal,IELTS 6.5 or TOEFL 80 or exemption,3.0,6.5,80,Fall/Spring,July 1 for Fall,2,Yes,Strong industry connections in Dallas tech hub
University of Texas at Arlington,USA,Arlington,MS Computer Science AI Track,Masters,Artificial Intelligence,English,15000,Direct University Portal,IELTS 6.5 or TOEFL 79 or exemption,2.8,6.5,79,Fall/Spring,June 1 for Fall,2,Yes,Affordable tuition close to Dallas Fort Worth
Texas A&M University,USA,College Station,MS Computer Science,Masters,Artificial Intelligence,English,17000,Direct University Portal,IELTS 6.5 or TOEFL 80 or exemption,3.0,6.5,80,Fall only,January 5 for Fall,2,Yes,Top ranked public university in Texas
University of Houston,USA,Houston,MS Artificial Intelligence,Masters,Artificial Intelligence,English,16000,Direct University Portal,IELTS 6.5 or TOEFL 79 or exemption,2.8,6.5,79,Fall/Spring,May 1 for Fall,2,Yes,Located in major energy and tech hub
Texas Tech University,USA,Lubbock,MS Computer Science,Masters,Artificial Intelligence,English,12000,Direct University Portal,IELTS 6.0 or TOEFL 79 or exemption,2.75,6.0,79,Fall/Spring,June 1 for Fall,2,Yes,Very affordable tuition for international students
University of North Texas,USA,Denton,MS Artificial Intelligence,Masters,Artificial Intelligence,English,13000,Direct University Portal,IELTS 6.0 or TOEFL 79 or exemption,2.75,6.0,79,Fall/Spring,June 15 for Fall,2,Yes,New dedicated AI program launched 2023
TU Berlin,Germany,Berlin,MS Computer Science AI Track,Masters,Artificial Intelligence,English,0,uni-assist,IELTS 6.0 or TOEFL 80 or exemption,2.5,6.0,80,Winter/Summer,May 31 for Winter,2,No,Public university no tuition only semester fee 315 EUR
Technical University of Munich,Germany,Munich,MS Informatics AI,Masters,Artificial Intelligence,English,0,uni-assist,IELTS 7.0 or TOEFL 95 or exemption,3.5,7.0,95,Winter only,May 31 for Winter,2,No,Top ranked university in Germany highly competitive
University of Hamburg,Germany,Hamburg,MS Intelligent Adaptive Systems,Masters,Artificial Intelligence,English,0,uni-assist,IELTS 6.5 or TOEFL 88 or exemption,3.0,6.5,88,Winter only,March 15 for Winter,2,No,Research focused AI program
RWTH Aachen University,Germany,Aachen,MS Robotics and AI,Masters,Artificial Intelligence,English,0,uni-assist,IELTS 7.0 or TOEFL 90 or exemption,3.2,7.0,90,Winter only,April 30 for Winter,2,No,Top engineering university in Germany
University of Toronto,Canada,Toronto,MS Applied Computing AI,Masters,Artificial Intelligence,English,25000,Direct University Portal,IELTS 6.5 or TOEFL 89 or exemption,3.0,6.5,89,Fall only,December 1 for Fall,1,Yes,One year professional program strong industry links
University of British Columbia,Canada,Vancouver,MS Computer Science,Masters,Artificial Intelligence,English,22000,Direct University Portal,IELTS 6.5 or TOEFL 90 or exemption,3.2,6.5,90,Fall/January,December 15 for Fall,2,Yes,Top ranked Canadian university
University of Edinburgh,UK,Edinburgh,MS Artificial Intelligence,Masters,Artificial Intelligence,English,30000,Direct University Portal,IELTS 6.5 or TOEFL 92 or exemption,3.0,6.5,92,Fall only,March 31 for Fall,1,Yes,One of the oldest AI programs in the world
University of Amsterdam,Netherlands,Amsterdam,MSc Artificial Intelligence,Masters,Artificial Intelligence,English,18000,Studielink,IELTS 6.5 or TOEFL 90 or exemption,3.0,6.5,90,Fall only,April 1 for Fall,2,Yes,Top AI research university in Europe
Vrije Universiteit Amsterdam,Netherlands,Amsterdam,MSc Computer Science AI track,Masters,Artificial Intelligence,English,16000,Studielink,IELTS 6.0 or TOEFL 88 or exemption,2.8,6.0,88,Fall only,May 1 for Fall,2,Yes,Collaborative program with University of Amsterdam